"lambda","beta","risk","constraint","obj","policy_value"
0,0.05,-0.0102397980279531,0.216145199820653,-0.0102397980279531,-0.150643981475806
1,0.05,-0.00962788578318416,0.172549663215874,0.16292177743269,-0.126083720308061
8,0.25,0.591991991076242,-0.00239686985545628,0.572817032232592,-0.0540667547383047
9,0.25,0.638919074580777,-0.00809013184314444,0.566107887992477,-0.0474808354980352
9,0.25,0.650486776536407,-0.00781255421733143,0.580173788580424,-0.0648620356960082
9,0.25,0.655574589588434,-0.00867791184549929,0.57747338297894,-0.0370378288084889
9,0.25,0.63670595247529,-0.00759187426547996,0.56837908408597,-0.0445065116285863
9,0.25,0.641120569522881,-0.00797776315944178,0.569320701087905,-0.050227401161888
10,0.25,0.689671556650648,-0.0131861505593505,0.557810051057143,-0.0428027930789955
10,0.25,0.70557984987466,-0.0134150751034461,0.571429098840199,-0.0609965690506197
10,0.25,0.693220088840552,-0.0123443154916245,0.569776933924307,-0.03441583310448
10,0.25,0.679071320424815,-0.0120072067670746,0.558999252754069,-0.0407508424723989
2,0.05,0.0567110363201241,0.122549769229636,0.301810574779396,-0.109280237981139
10,0.25,0.693976952458164,-0.0132555938773138,0.561421013685026,-0.044526542821148
0,0.5,-0.0102397980279531,0.216398335302473,-0.0102397980279531,-0.151259513373048
0,0.5,-0.0143358778032087,0.198926116265422,-0.0143358778032087,-0.146257719057473
0,0.5,-0.0141333050035239,0.200686162950799,-0.0141333050035239,-0.122491052434596
0,0.5,-0.0156231317938853,0.188479432043832,-0.0156231317938853,-0.137396728758288
0,0.5,-0.0129385195131126,0.19986313154278,-0.0129385195131126,-0.129806729836707
1,0.5,-0.00399057007170346,0.168723304182409,0.164732734110705,-0.128238620416195
1,0.5,-0.00521814287931927,0.171702044458606,0.166483901579287,-0.136538831491925
1,0.5,-0.00420654525040114,0.170110048048125,0.165903502797724,-0.111764706372741
1,0.5,-0.0131982958841932,0.178130450552204,0.164932154668011,-0.129509823530295
2,0.05,0.0526296252428778,0.126770205810526,0.30617003686393,-0.119530778252216
1,0.5,-0.00490395492923443,0.167800507895357,0.162896552966123,-0.11980114172847
2,0.5,0.0303967493909921,0.140484838891308,0.311366427173608,-0.114081386779627
2,0.5,0.0301001929491111,0.142898423377532,0.315897039704175,-0.127040827734685
2,0.5,0.0215349409878632,0.146792703180853,0.31512034734957,-0.104852172243991
2,0.5,0.0260563550323879,0.140395083998114,0.306846523028615,-0.113986391018053
2,0.5,0.0390961893043423,0.134271542554789,0.307639274413921,-0.112006090527866
3,0.5,0.0700974221319026,0.120919182609725,0.432854969961077,-0.107433642289413
3,0.5,0.107598809161531,0.107835061711913,0.431103994297271,-0.115333985894366
3,0.5,0.0641832245431348,0.124252879091288,0.436941861816999,-0.0936490996904984
3,0.5,0.0673633972670693,0.119807826750021,0.426786877517131,-0.101968249718254
2,0.05,0.0529874267119367,0.125364138835882,0.303715704383701,-0.0957943689028693
3,0.5,0.0651574440648402,0.121097549847788,0.428450093608204,-0.101651470276318
4,0.5,0.169210751540227,0.0870438503884562,0.517386153094052,-0.0953692171034684
4,0.5,0.169865911967002,0.0879038225313445,0.52148120209238,-0.107492610699435
4,0.5,0.191602410798939,0.0822742346826099,0.520699349529379,-0.082446027137006
4,0.5,0.165461651445278,0.0876751512037524,0.516162256260287,-0.0925790768277851
4,0.5,0.180691443502601,0.0832061665162323,0.51351610956753,-0.0917622262158506
5,0.5,0.293776863314097,0.0569852677637614,0.578703202132904,-0.0828123663997301
5,0.5,0.213862619101971,0.0767826042662225,0.597775640433083,-0.103516702149892
5,0.5,0.291318415722476,0.0588713019313145,0.585674925379048,-0.0677866875191383
5,0.5,0.273477525402135,0.0600783847478601,0.573869449141435,-0.0823135811342062
2,0.05,0.0517959759202834,0.123502204820468,0.298800385561219,-0.107226186536916
5,0.5,0.280783833961688,0.0589362194024798,0.575464930974087,-0.077684596435656
6,0.5,0.386857867125312,0.0394247940862141,0.623406631642597,-0.0738256006999959
6,0.5,0.391135892531853,0.0394103889916952,0.627598226482024,-0.0884966031849545
7,0.5,0.487152538319618,0.0228979916791007,0.647438480073323,-0.061391856375706
7,0.5,0.469283704705174,0.0270795728586637,0.658840714715819,-0.0827536241689489
7,0.5,0.483168738919427,0.0248899662459831,0.657398502641308,-0.0596823371612927
2,0.05,0.055884718514007,0.121626786943588,0.299138292401183,-0.106770608378207
8,0.5,0.549896773061141,0.0148192864004018,0.668451064264356,-0.0583141968894957
8,0.5,0.554733353073631,0.0158148399496419,0.681252072670766,-0.0754644584947878
8,0.5,0.542533702783002,0.0170304016597523,0.67877691606102,-0.053961619261637
8,0.5,0.542020644557243,0.0155765982823852,0.666633430816324,-0.0587780544220984
8,0.5,0.52875920103575,0.0174066759424529,0.668012608575374,-0.0631415904643805
9,0.5,0.582855806830703,0.010843712478723,0.68044921913921,-0.0583141968894957
9,0.5,0.603516012885567,0.0100810057525938,0.694245064658911,-0.0697214794787822
9,0.5,0.610146547466787,0.00908424856544326,0.691904784555776,-0.0472874483787054
9,0.5,0.594124601880224,0.00953061229771781,0.679900112559684,-0.0541460624628006
3,0.05,0.132622479279816,0.0907963981766869,0.405011673809877,-0.0951230043445715
9,0.5,0.569566503400968,0.0123912820845482,0.681088042161902,-0.0606983654612063
10,0.5,0.639444254717533,0.00488208545178481,0.688265109235381,-0.0514202396403845
10,0.5,0.656891559039914,0.00459102677034727,0.702801826743386,-0.0665186642583175
10,0.5,0.66745307486309,0.003353953295198,0.70099260781507,-0.0421626385935971
10,0.5,0.661745378516775,0.00288245290132487,0.690569907530024,-0.0482621807847737
10,0.5,0.638175848902382,0.00508505977508863,0.689026446653268,-0.0542994428338451
0,1,-0.0102397980279531,0.216678773339532,-0.0102397980279531,-0.151505726131945
0,1,-0.0143358778032087,0.199127499872906,-0.0143358778032087,-0.146368160961627
0,1,-0.0141333050035239,0.200861400229803,-0.0141333050035239,-0.122491052434596
0,1,-0.0156231317938853,0.188917103579602,-0.0156231317938853,-0.137521917730161
3,0.05,0.129757486806291,0.093759071641459,0.411034701730668,-0.10539421452051
0,1,-0.0129385195131126,0.199991180697499,-0.0129385195131126,-0.129806729836707
1,1,-0.00385986167933652,0.169741193606968,0.165881331927631,-0.128238620416195
1,1,-0.00427866731747134,0.171156484696456,0.166877817378985,-0.136317947683617
1,1,-0.004849308772818,0.17181784741529,0.166968538642472,-0.11212225124147
1,1,-0.00681503547610222,0.171695305775716,0.164880270299614,-0.125128209514743
1,1,-0.00591919465597055,0.169639742038721,0.16372054738275,-0.126665440546912
2,1,0.0153637283457257,0.153127317551676,0.321618363449077,-0.1201135993726
2,1,0.0319431248718263,0.144678515225687,0.3213001553232,-0.123064919185142
2,1,0.0429659470289845,0.138185498467708,0.3193369439644,-0.102826084654529
2,1,0.0270014684802811,0.142519052589633,0.312039573659547,-0.11298487924307
3,0.05,0.124037923934108,0.0947383179608061,0.408252877816526,-0.0823268455140965
2,1,0.0150999882925396,0.151007715234171,0.317115418760882,-0.115031035769891
3,1,0.0761307988706503,0.122923752897677,0.444902057563682,-0.102755599870373
3,1,0.0491287289339197,0.135699920326453,0.45622848991328,-0.11964122015637
3,1,0.0846135376632514,0.121471347216701,0.449027579313354,-0.0963902770174168
3,1,0.0438704245458318,0.13431088028179,0.446803065391202,-0.109604777002501
3,1,0.0834323976502235,0.119370985073467,0.441545352870625,-0.101535126228548
4,1,0.101770687455577,0.114672700572208,0.56046148974441,-0.104725301941548
4,1,0.138462884363072,0.105664536711782,0.561121031210199,-0.104952446903894
4,1,0.133130138139106,0.106297475885175,0.558320041679805,-0.0849488412181054
4,1,0.0938481064830163,0.115336386808646,0.555193653717599,-0.100716359999524
3,0.05,0.128728128914527,0.0905374773551549,0.400340560979992,-0.0918279429965476
4,1,0.148788858891293,0.0997938294816903,0.547964176818054,-0.0960669559833481
5,1,0.175294898122968,0.0946965140335436,0.648777468290686,-0.0949998979651231
5,1,0.153553904786043,0.101319259167912,0.660150200625606,-0.109811890686668
5,1,0.211855090922247,0.0874465785207949,0.649087983526222,-0.0760102194998934
5,1,0.183334548085589,0.0920179635738958,0.643424365955068,-0.0864448172060123
5,1,0.149031682278779,0.0993421446200158,0.645742405378858,-0.0946708274101057
6,1,0.263625701698581,0.0765865345598164,0.723144909057479,-0.0812119834669007
6,1,0.213100425221368,0.0871976972626483,0.736286608797258,-0.0998721193128119
6,1,0.261490015647301,0.0782413124811969,0.730937890534482,-0.0721964075667896
6,1,0.203237350633164,0.0866004738009719,0.722840193438995,-0.0913271871090559
0,0.05,-0.0143358778032087,0.19874473190464,-0.0143358778032087,-0.146036835249165
3,0.05,0.132762303070327,0.0897966209343958,0.402152165873515,-0.0949035155056461
6,1,0.25675023267752,0.0769679883305776,0.718558162660985,-0.0818729821553833
7,1,0.337155412897083,0.0639335855182182,0.78469051152461,-0.0775187920834483
7,1,0.319709285827241,0.0680587994967552,0.796120882304527,-0.0982154907505026
7,1,0.307459769178471,0.0702627769420864,0.799299207773076,-0.0750567665166174
7,1,0.328276581405492,0.0643600813780151,0.778797151051598,-0.0756785656249417
7,1,0.334596469959284,0.0636055346691361,0.779835212643237,-0.0822220142986939
8,1,0.402435883822774,0.0550237373251802,0.842625782424216,-0.0782574303601388
8,1,0.418510454094601,0.0537140137072064,0.848222563752252,-0.0850729041561819
8,1,0.407091183748964,0.0554272945345168,0.850509540025099,-0.0679058691420478
8,1,0.391119386601467,0.0553997544121368,0.834317421898562,-0.0750526207655772
4,0.05,0.226125196841639,0.061805817756098,0.473348467866031,-0.0850282812298016
8,1,0.407594842797954,0.0534231472729204,0.834980020981317,-0.0766375000057241
9,1,0.479531588120725,0.0451979718040676,0.886313334357333,-0.0744411325972379
9,1,0.485949486218721,0.0457315196199577,0.89753316279834,-0.0876130679517229
9,1,0.487051833456598,0.0452095662624508,0.893937929818654,-0.0581329760634693
9,1,0.435385789243214,0.0498873840457468,0.884372245654935,-0.0679168493688211
9,1,0.456649494638227,0.0474529455782951,0.883726004842883,-0.0739615869070095
10,1,0.517414252780199,0.0406808095974055,0.924222348754254,-0.066439217933091
10,1,0.545471040709464,0.039245971487275,0.937930755582215,-0.0826431822647949
10,1,0.553469593745002,0.0383236587447366,0.936706181192368,-0.0602782452758402
10,1,0.53600908645663,0.0383571641847116,0.919580728303746,-0.0686679832000586
4,0.05,0.237094182313853,0.059270318798494,0.474175457507829,-0.094681349817576
10,1,0.532120672051757,0.0387062074183348,0.919182746235104,-0.0693078249962013
0,1.5,-0.0102397980279531,0.216957550275109,-0.0102397980279531,-0.151628832511394
0,1.5,-0.0143358778032087,0.199328569627918,-0.0143358778032087,-0.146368160961627
0,1.5,-0.0141333050035239,0.201036384499973,-0.0141333050035239,-0.122491052434596
0,1.5,-0.0156231317938853,0.189353599418889,-0.0156231317938853,-0.138022673617653
0,1.5,-0.0129385195131126,0.200119063966683,-0.0129385195131126,-0.129923073884477
1,1.5,-0.0017393074269763,0.168822973256751,0.167083665829775,-0.124914748171088
1,1.5,-0.00508815246013045,0.17283119593393,0.167743043473799,-0.137753692437618
1,1.5,-0.005358521877671,0.172967860006469,0.167609338128798,-0.116293608043302
1,1.5,-0.00675338357698723,0.170856088813993,0.164102705237006,-0.127757177924074
4,0.05,0.206145952050938,0.0683074707172118,0.479375834919785,-0.0726731340584275
1,1.5,-0.0126678738446264,0.184162668061907,0.17149479421728,-0.128061569120154
2,1.5,0.0276025643552613,0.148689561510658,0.324981687376576,-0.115927982471354
2,1.5,0.0271424757748684,0.150132393397319,0.327407262569507,-0.127151269638839
2,1.5,0.0237558368403417,0.151513486395524,0.32678280963139,-0.105567261981448
2,1.5,0.0234773432464139,0.148543902421831,0.320565148090077,-0.116490170455512
2,1.5,0.0132318693055106,0.153723760543484,0.320679390392478,-0.118754045298538
3,1.5,0.0518841661808736,0.13657946374597,0.461622557418783,-0.110265089016726
3,1.5,0.0570733026531954,0.136210411959596,0.465704538531983,-0.120635197293755
3,1.5,0.0738362275496638,0.130223171432623,0.464505741847534,-0.0980588197381497
3,1.5,0.037452771455525,0.140301461464036,0.458357155847633,-0.112609312327451
4,0.05,0.24984180264473,0.0533574982729193,0.463271795736407,-0.0818128252467145
3,1.5,0.0552575062412725,0.133619223833852,0.456115177742828,-0.109562865524692
4,1.5,0.0923729593665359,0.123395432609926,0.585954689806241,-0.109034025222242
4,1.5,0.0759602690176266,0.129440702967573,0.593723080887919,-0.119530778252216
4,1.5,0.122741256053304,0.115866835136949,0.586208596601098,-0.0866173839388383
4,1.5,0.0917531170262865,0.121569900189658,0.578032717784919,-0.105473540930695
4,1.5,0.105157072865169,0.118421028170473,0.578841185547062,-0.102582222658479
5,1.5,0.150572244943841,0.108362163011713,0.692383060002407,-0.0949998979651231
5,1.5,0.153669147348179,0.109159123980136,0.69946476724886,-0.111689403057285
5,1.5,0.170981744314882,0.105454232309391,0.698252905861835,-0.0828035720057345
5,1.5,0.153112494492055,0.106174893284827,0.68398696091619,-0.0938309665465142
4,0.05,0.181071479455607,0.0729931778472076,0.473044190844437,-0.0908314738336889
5,1.5,0.147361459740595,0.107582285622133,0.685272887851259,-0.101302438133007
6,1.5,0.209937604393313,0.0970986510647538,0.792529510781836,-0.088721472613254
6,1.5,0.191434880722687,0.101635001975784,0.801244892577392,-0.10959100687836
6,1.5,0.197258181529085,0.100372701684299,0.799494391634876,-0.0803007579246351
6,1.5,0.194440190703265,0.0984017567233703,0.784850731043487,-0.0964599349558454
6,1.5,0.189164331166361,0.0992836863536588,0.784866449288315,-0.0892026571649061
7,1.5,0.234949302022813,0.092796346603617,0.884523728248132,-0.0919222384789128
7,1.5,0.191514882712153,0.101355001215825,0.900999891222927,-0.107823936411897
7,1.5,0.237742397433414,0.0935372804616422,0.892503360664909,-0.0775595805977168
7,1.5,0.187065400335056,0.0993493534029697,0.882510874155845,-0.0943317224340059
5,0.05,0.405210099401787,0.0174578628071772,0.492499413437673,-0.0618842818934997
7,1.5,0.232634669654968,0.0918190517633569,0.875368031998466,-0.0859450238273404
8,1.5,0.227494006140404,0.092349945261535,0.966293568232685,-0.0917027540246747
5,0.05,0.40012237485888,0.020279536362167,0.501520056669716,-0.0831953917855647
0,2,-0.0141333050035238,0.201210991337863,-0.0141333050035238,-0.122848597303324
0,2,-0.0156231317938853,0.189788344585346,-0.0156231317938853,-0.138398240533271
5,0.05,0.394641285798216,0.0212613487031239,0.500948029313835,-0.0557493436052794
1,2,-0.00506989802884099,0.174015601133526,0.168945703104685,-0.116174426420393
5,0.05,0.385758825588661,0.0208867629990462,0.490192640583891,-0.0656634478751087
0,0.05,-0.0141333050035239,0.200528337264752,-0.0141333050035239,-0.122252689188777
5,0.05,0.37863808405863,0.0226756578007468,0.492016373062364,-0.0709366416649842
5,2,0.0827916616397966,0.130560955980594,0.735596441542766,-0.110880620913969
5,2,0.0864836056039754,0.1313539610162,0.743253410684977,-0.115554869702673
5,2,0.0839823362660859,0.131749001537813,0.742727343955149,-0.0953176424112313
5,2,0.130892456999621,0.11773911389901,0.719588026494673,-0.0964599349558454
5,2,0.0914963229522908,0.126691963270614,0.724956139305362,-0.10269856670625
6,2,0.112692612144664,0.123537908820057,0.853920065065005,-0.104848408320996
6,2,0.11431060532133,0.124194236255594,0.859476022854895,-0.112904264002979
6,2,0.117256365750518,0.123719192471608,0.859571520580167,-0.0899544693803041
6,2,0.172810353638306,0.110090601813957,0.833353964522048,-0.0982125805620662
6,0.05,0.502122287452616,0.000329362105961489,0.504098460088385,-0.0581910905100472
6,2,0.168249614481704,0.110666969063209,0.832251428860961,-0.0947871714578759
7,2,0.146480223495971,0.116402275760446,0.961296153819096,-0.103371131767615
7,2,0.148117091425886,0.117498012424981,0.970603178400754,-0.114008683044518
7,2,0.147112091114793,0.117504578231534,0.969644138735529,-0.0934107364446795
7,2,0.141621829331526,0.115814096285202,0.95232050332794,-0.102969761493237
7,2,0.144763318370015,0.115157495854803,0.950865789353636,-0.101418782180777
8,2,0.213722220030155,0.105384980727394,1.05680206584931,-0.0979544510718851
8,2,0.223417856690159,0.105443914629699,1.06696917372775,-0.1037375859582
8,2,0.213720668012625,0.106543957175685,1.06607232541811,-0.082684390382825
8,2,0.215558587534391,0.103950325942321,1.04716119507296,-0.0909516201934372
6,0.05,0.478002061235077,0.00610133183427552,0.514610052240731,-0.0754644584947878
8,2,0.215016865448357,0.103924011906965,1.04640896070408,-0.0942054512190248
9,2,0.262187017863224,0.0991337396792528,1.1543906749765,-0.0946305788267779
9,2,0.225878349527259,0.104896955556707,1.16995094953762,-0.102964492629123
9,2,0.214407484657998,0.103856449811366,1.1491155329603,-0.0895745415028351
6,0.05,0.487659786230677,0.00419326657562051,0.5128193856844,-0.0496710808368952
6,0.05,0.492857338996987,0.00180301651869324,0.503675438109147,-0.0558987080690214
6,0.05,0.477017884296235,0.00466128206489042,0.504985576685578,-0.0598839571268149
7,0.05,0.568528498138435,-0.00974422101087411,0.500318951062317,-0.0466190908418963
7,0.05,0.576150368185911,-0.00900330646275549,0.513127222946623,-0.0671813156832412
7,0.05,0.576235029077832,-0.00940125909656422,0.510426215401882,-0.0379912817917649
7,0.05,0.566724045145086,-0.00930481834980917,0.501590316696422,-0.0485125587285195
0,0.05,-0.0156231317938853,0.188085006015409,-0.0156231317938853,-0.136895972870796
7,0.05,0.547920908143002,-0.00640118814311907,0.503112591141168,-0.0549975071204663
8,0.05,0.621428197725265,-0.0165883618588434,0.488721302854518,-0.0444031760118248
8,0.05,0.636088497061872,-0.0166266644891967,0.503075181148298,-0.0585668471592327
8,0.05,0.630836844184403,-0.0164333581098653,0.499369979305481,-0.0372761920543079
8,0.05,0.622377268268197,-0.0163861639390157,0.491287956756071,-0.04337981088173
8,0.05,0.621339311381353,-0.0159384210491116,0.49383194298846,-0.0476678321109435
9,0.05,0.666915863570662,-0.0217627894915704,0.471050758146528,-0.0416948356639597
9,0.05,0.692853545057653,-0.0230558491770029,0.485350902464626,-0.0548118224179983
9,0.05,0.693448965480073,-0.0233939738540768,0.482903200793382,-0.0309595660401047
9,0.05,0.681965478861675,-0.0230153050580542,0.474827733339187,-0.0346165828506261
0,0.05,-0.0129385195131126,0.199747813773272,-0.0129385195131126,-0.129457697693396
9,0.05,0.679510966649348,-0.0225992469903526,0.476117743736174,-0.0398727809103399
10,0.05,0.736848194992074,-0.0285297826967869,0.451550368024205,-0.0351701975531938
10,0.05,0.746594357385656,-0.0283568790283333,0.463025567102323,-0.0523821005266112
10,0.05,0.728330910337339,-0.0269276126814371,0.459054783522968,-0.0269073908611819
10,0.05,0.740573424181261,-0.0287141114564269,0.453432309616991,-0.0326135593006595
10,0.05,0.733118021188964,-0.0278487763958504,0.454630257230459,-0.0371968678116252
0,0.25,-0.0102397980279531,0.216257749398934,-0.0102397980279531,-0.151013300614152
0,0.25,-0.0143358778032087,0.198825355584713,-0.0143358778032087,-0.146147277153319
0,0.25,-0.0141333050035239,0.200598488791755,-0.0141333050035239,-0.122491052434596
0,0.25,-0.0156231317938853,0.188260338014984,-0.0156231317938853,-0.137271539786415
1,0.05,-0.0031696169046116,0.167814569072201,0.16464495216759,-0.122329514202671
0,0.25,-0.0129385195131126,0.199799070559791,-0.0129385195131126,-0.129457697693396
1,0.25,-0.00750787230026089,0.172184655063376,0.164676782763115,-0.12860793955454
1,0.25,-0.0108123821219716,0.178020453504209,0.167208071382237,-0.141729600987161
1,0.25,-0.0119573539650309,0.179497391724644,0.167540037759614,-0.124278776778238
1,0.25,-0.00499120937574088,0.167954365203141,0.1629631558274,-0.124752642599124
1,0.25,-0.0109307637819709,0.175401974508899,0.164471210726928,-0.128410601263465
2,0.25,0.0329431707950524,0.137695404511297,0.308333979817646,-0.11309653574404
2,0.25,0.0513662663964752,0.128322954971614,0.308012176339703,-0.120966523006217
2,0.25,0.0205792137684382,0.146187590444746,0.31295439465793,-0.106997441456362
2,0.25,0.0546495006010285,0.122909706776574,0.300468914154177,-0.108478076255645
1,0.05,-0.0120416541453633,0.179539936354533,0.16749828220917,-0.142171368603777
2,0.25,0.021242759256581,0.14287025043853,0.306983260133642,-0.11433297148327
3,0.25,0.125693530056633,0.0962863748877749,0.414552654719957,-0.0980775574513335
3,0.25,0.1309935081292,0.0958012680154351,0.418397312175505,-0.111247635440669
3,0.25,0.0961126470596629,0.108877890999727,0.422746320058844,-0.092338101838494
3,0.25,0.0807416403280712,0.111224262287415,0.414414427190315,-0.104597218127585
3,0.25,0.116678952190449,0.098104591974345,0.410992728113484,-0.0979284607476714
4,0.25,0.199666954093204,0.0740711149177589,0.49595141376424,-0.0834278982969722
4,0.25,0.226622397328673,0.0677113924191826,0.497467967005403,-0.100424328833582
4,0.25,0.176562352232385,0.0816252353714743,0.503063293718282,-0.0766061276144408
4,0.25,0.197169388289,0.0733876441972518,0.490719965078007,-0.0871959510372498
1,0.05,-0.0110382218980206,0.177969663837383,0.166931441939362,-0.124159595155329
4,0.25,0.199902153349519,0.0724316650364013,0.489628813495124,-0.0846652393018682
5,0.25,0.330814878481421,0.040895545001422,0.535292603488531,-0.076533941047861
5,0.25,0.341602741779399,0.0401735841217047,0.542470662387922,-0.0896010222264941
5,0.25,0.335745833467598,0.0416319205592739,0.543905436263967,-0.0620659696194826
5,0.25,0.270705435552614,0.0535001491939878,0.538206181522553,-0.0729244082437376
5,0.25,0.329424745794442,0.0405810019150614,0.53232975536975,-0.0768701881012645
6,0.25,0.446566250806701,0.0182255871998614,0.55591977400587,-0.0623767074112933
6,0.25,0.460985406147717,0.0176941724864662,0.567150441066514,-0.0760166680155576
6,0.25,0.458877549446573,0.017811333690396,0.565745551588949,-0.0570603414572839
6,0.25,0.42487596994873,0.0216248797471575,0.554625248431675,-0.0645367471282524
1,0.05,-0.0120522798177083,0.175518114823011,0.163465835005303,-0.131638036052134
6,0.25,0.426843769667752,0.021583951580483,0.55634747915065,-0.0647704071331634
7,0.25,0.511863527178415,0.00811642502999336,0.568678502388368,-0.0621304946523965
7,0.25,0.536765279167871,0.0063825588905656,0.58144319140183,-0.0731451785075548
7,0.25,0.53907316165956,0.00571976549469401,0.579111520122418,-0.0494327175910763
7,0.25,0.524957816847685,0.00615192183316846,0.568021269679864,-0.0538956845190548
7,0.25,0.511057612357282,0.0085026894294366,0.570576438363338,-0.0586041726013426
8,0.25,0.597098729557468,-0.0032511776233933,0.571089308570321,-0.0501891758459003
8,0.25,0.60214856552456,-0.00227615265317127,0.58393934429919,-0.0691692699580124
8,0.25,0.584983483274843,-0.000579860172485909,0.580344601894956,-0.0433544548226921
8,0.25,0.569882049622469,4.76805431317007e-05,0.570263493967522,-0.0530193617159444
